Item,Condition,Current Qty,Par Qty,Minimum Restock,Unit,Vendor,Category,Code (copy to gform),PNS,TRIGGER,Merged Doc ID - Sarkop Stock Opname PDF,Merged Doc URL - Sarkop Stock Opname PDF,Link to merged Doc - Sarkop Stock Opname PDF,Document Merge Status - Sarkop Stock Opname PDF
Kapal Api Kopi Hitam,Bahaya!,0,1,2,renceng (isi 10),Barokah,Bahan Lainnya,Kapal Api Kopi Hitam [renceng (isi 10)],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Good Day (Cappuccino),Low,1,2,4,renceng (isi 10),Barokah,Bahan Lainnya,Good Day (Cappuccino) [renceng (isi 10)],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
OldTown White Coffee (Classic),Bahaya!,0,2,4,pack utuh (isi 15),Online,Bahan Lainnya,OldTown White Coffee (Classic) [pack utuh (isi 15)],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
OldTown White Coffee (Hazelnut),Low,1,2,4,pack utuh (isi 15),Online,Bahan Lainnya,OldTown White Coffee (Hazelnut) [pack utuh (isi 15)],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Nutrisari Florida Orange,-,1,1,2,renceng (isi 10),Barokah,Bahan Lainnya,Nutrisari Florida Orange [renceng (isi 10)],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Nutrisari Apel Jeruk,Bahaya!,0,1,2,renceng (isi 10),Barokah,Bahan Lainnya,Nutrisari Apel Jeruk [renceng (isi 10)],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Nutrisari Sweet Mango,Bahaya!,0,1,2,renceng (isi 10),Barokah,Bahan Lainnya,Nutrisari Sweet Mango [renceng (isi 10)],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Nutrisari Milky Orange,-,1,1,2,renceng (isi 10),Barokah,Bahan Lainnya,Nutrisari Milky Orange [renceng (isi 10)],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Nutrisari Jeruk Nipis,-,1,1,2,renceng (isi 10),Barokah,Bahan Lainnya,Nutrisari Jeruk Nipis [renceng (isi 10)],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Nutrisari Blewah,-,1,1,2,renceng (isi 10),Barokah,Bahan Lainnya,Nutrisari Blewah [renceng (isi 10)],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Nutrisari Leci,-,1,1,2,renceng (isi 10),Barokah,Bahan Lainnya,Nutrisari Leci [renceng (isi 10)],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Nutrisari Anggur Hijau,-,1,1,2,renceng (isi 10),Barokah,Bahan Lainnya,Nutrisari Anggur Hijau [renceng (isi 10)],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Nutrisari Anggur,Low,1,2,4,renceng (isi 10),Barokah,Bahan Lainnya,Nutrisari Anggur [renceng (isi 10)],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Adem Sari (Panas Dalam),-,1,1,2,renceng (isi 10),Barokah,Bahan Lainnya,Adem Sari (Panas Dalam) [renceng (isi 10)],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Extra Joss,Bahaya!,0,3,6,pack isi 6,Barokah,Bahan Lainnya,Extra Joss [pack isi 6],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
Kukubima,Low,1,2,4,pack isi 6,Barokah,Bahan Lainnya,Kukubima [pack isi 6],,,1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv,https://drive.google.com/file/d/1OHsbvfK_gIryvdoYcAJnKkT4f-GQwePv/view?usp=drivesdk,Laporan Sarkop SO_11/01/2025,Data merged and appended successfully; PDF created; Run via form trigger as sarjanawarkop.id@gmail.com; Timestamp: Oct 31 2025 10:16 PM
